date,day_index,internal_model_id,external_model_id,model_name
2025-01-01,0,3,"(1,4)",工作日-中间负荷期3
2025-01-02,1,3,"(1,4)",工作日-中间负荷期3
2025-01-03,2,3,"(1,4)",工作日-中间负荷期3
2025-01-04,3,8,"(2,4)",休息日-中间负荷期3
2025-01-05,4,8,"(2,4)",休息日-中间负荷期3
2025-01-06,5,13,"(3,4)",同类日-中间负荷期3
2025-01-07,6,13,"(3,4)",同类日-中间负荷期3
2025-01-08,7,13,"(3,4)",同类日-中间负荷期3
2025-01-09,8,13,"(3,4)",同类日-中间负荷期3
2025-01-10,9,13,"(3,4)",同类日-中间负荷期3
2025-01-11,10,13,"(3,4)",同类日-中间负荷期3
2025-01-12,11,13,"(3,4)",同类日-中间负荷期3
2025-01-13,12,14,"(3,5)",同类日-低负荷期
2025-01-14,13,14,"(3,5)",同类日-低负荷期
2025-01-15,14,14,"(3,5)",同类日-低负荷期
2025-01-16,15,14,"(3,5)",同类日-低负荷期
2025-01-17,16,14,"(3,5)",同类日-低负荷期
2025-01-18,17,14,"(3,5)",同类日-低负荷期
2025-01-19,18,14,"(3,5)",同类日-低负荷期
2025-01-20,19,4,"(1,5)",工作日-低负荷期
2025-01-21,20,4,"(1,5)",工作日-低负荷期
2025-01-22,21,4,"(1,5)",工作日-低负荷期
2025-01-23,22,4,"(1,5)",工作日-低负荷期
2025-01-24,23,4,"(1,5)",工作日-低负荷期
2025-01-25,24,9,"(2,5)",休息日-低负荷期
2025-01-26,25,9,"(2,5)",休息日-低负荷期
2025-01-27,26,14,"(3,5)",同类日-低负荷期
2025-01-28,27,14,"(3,5)",同类日-低负荷期
2025-01-29,28,14,"(3,5)",同类日-低负荷期
2025-01-30,29,14,"(3,5)",同类日-低负荷期
2025-01-31,30,14,"(3,5)",同类日-低负荷期
2025-02-01,31,14,"(3,5)",同类日-低负荷期
2025-02-02,32,14,"(3,5)",同类日-低负荷期
2025-02-03,33,4,"(1,5)",工作日-低负荷期
2025-02-04,34,4,"(1,5)",工作日-低负荷期
2025-02-05,35,9,"(2,5)",休息日-低负荷期
2025-02-06,36,9,"(2,5)",休息日-低负荷期
2025-02-07,37,9,"(2,5)",休息日-低负荷期
2025-02-08,38,9,"(2,5)",休息日-低负荷期
2025-02-09,39,9,"(2,5)",休息日-低负荷期
2025-02-10,40,8,"(2,4)",休息日-中间负荷期3
2025-02-11,41,8,"(2,4)",休息日-中间负荷期3
2025-02-12,42,8,"(2,4)",休息日-中间负荷期3
2025-02-13,43,3,"(1,4)",工作日-中间负荷期3
2025-02-14,44,3,"(1,4)",工作日-中间负荷期3
2025-02-15,45,8,"(2,4)",休息日-中间负荷期3
2025-02-16,46,8,"(2,4)",休息日-中间负荷期3
2025-02-17,47,3,"(1,4)",工作日-中间负荷期3
2025-02-18,48,3,"(1,4)",工作日-中间负荷期3
2025-02-19,49,3,"(1,4)",工作日-中间负荷期3
2025-02-20,50,3,"(1,4)",工作日-中间负荷期3
2025-02-21,51,8,"(2,4)",休息日-中间负荷期3
2025-02-22,52,3,"(1,4)",工作日-中间负荷期3
2025-02-23,53,8,"(2,4)",休息日-中间负荷期3
2025-02-24,54,3,"(1,4)",工作日-中间负荷期3
2025-02-25,55,3,"(1,4)",工作日-中间负荷期3
2025-02-26,56,3,"(1,4)",工作日-中间负荷期3
2025-02-27,57,3,"(1,4)",工作日-中间负荷期3
2025-02-28,58,3,"(1,4)",工作日-中间负荷期3
2025-03-01,59,8,"(2,4)",休息日-中间负荷期3
2025-03-02,60,8,"(2,4)",休息日-中间负荷期3
2025-03-03,61,3,"(1,4)",工作日-中间负荷期3
2025-03-04,62,3,"(1,4)",工作日-中间负荷期3
2025-03-05,63,3,"(1,4)",工作日-中间负荷期3
2025-03-06,64,3,"(1,4)",工作日-中间负荷期3
2025-03-07,65,3,"(1,4)",工作日-中间负荷期3
2025-03-08,66,8,"(2,4)",休息日-中间负荷期3
2025-03-09,67,8,"(2,4)",休息日-中间负荷期3
2025-03-10,68,3,"(1,4)",工作日-中间负荷期3
2025-03-11,69,3,"(1,4)",工作日-中间负荷期3
2025-03-12,70,3,"(1,4)",工作日-中间负荷期3
2025-03-13,71,3,"(1,4)",工作日-中间负荷期3
2025-03-14,72,3,"(1,4)",工作日-中间负荷期3
2025-03-15,73,8,"(2,4)",休息日-中间负荷期3
2025-03-16,74,8,"(2,4)",休息日-中间负荷期3
2025-03-17,75,13,"(3,4)",同类日-中间负荷期3
2025-03-18,76,13,"(3,4)",同类日-中间负荷期3
2025-03-19,77,13,"(3,4)",同类日-中间负荷期3
2025-03-20,78,13,"(3,4)",同类日-中间负荷期3
2025-03-21,79,13,"(3,4)",同类日-中间负荷期3
2025-03-22,80,13,"(3,4)",同类日-中间负荷期3
2025-03-23,81,13,"(3,4)",同类日-中间负荷期3
2025-03-24,82,3,"(1,4)",工作日-中间负荷期3
2025-03-25,83,3,"(1,4)",工作日-中间负荷期3
2025-03-26,84,3,"(1,4)",工作日-中间负荷期3
2025-03-27,85,3,"(1,4)",工作日-中间负荷期3
2025-03-28,86,3,"(1,4)",工作日-中间负荷期3
2025-03-29,87,8,"(2,4)",休息日-中间负荷期3
2025-03-30,88,8,"(2,4)",休息日-中间负荷期3
2025-03-31,89,3,"(1,4)",工作日-中间负荷期3
2025-04-01,90,3,"(1,4)",工作日-中间负荷期3
2025-04-02,91,3,"(1,4)",工作日-中间负荷期3
2025-04-03,92,3,"(1,4)",工作日-中间负荷期3
2025-04-04,93,8,"(2,4)",休息日-中间负荷期3
2025-04-05,94,8,"(2,4)",休息日-中间负荷期3
2025-04-06,95,8,"(2,4)",休息日-中间负荷期3
2025-04-07,96,3,"(1,4)",工作日-中间负荷期3
2025-04-08,97,3,"(1,4)",工作日-中间负荷期3
2025-04-09,98,3,"(1,4)",工作日-中间负荷期3
2025-04-10,99,3,"(1,4)",工作日-中间负荷期3
2025-04-11,100,3,"(1,4)",工作日-中间负荷期3
2025-04-12,101,8,"(2,4)",休息日-中间负荷期3
2025-04-13,102,8,"(2,4)",休息日-中间负荷期3
2025-04-14,103,3,"(1,4)",工作日-中间负荷期3
2025-04-15,104,3,"(1,4)",工作日-中间负荷期3
2025-04-16,105,3,"(1,4)",工作日-中间负荷期3
2025-04-17,106,3,"(1,4)",工作日-中间负荷期3
2025-04-18,107,3,"(1,4)",工作日-中间负荷期3
2025-04-19,108,8,"(2,4)",休息日-中间负荷期3
2025-04-20,109,8,"(2,4)",休息日-中间负荷期3
2025-04-21,110,13,"(3,4)",同类日-中间负荷期3
2025-04-22,111,13,"(3,4)",同类日-中间负荷期3
2025-04-23,112,13,"(3,4)",同类日-中间负荷期3
2025-04-24,113,13,"(3,4)",同类日-中间负荷期3
2025-04-25,114,13,"(3,4)",同类日-中间负荷期3
2025-04-26,115,13,"(3,4)",同类日-中间负荷期3
2025-04-27,116,13,"(3,4)",同类日-中间负荷期3
2025-04-28,117,3,"(1,4)",工作日-中间负荷期3
2025-04-29,118,3,"(1,4)",工作日-中间负荷期3
2025-04-30,119,3,"(1,4)",工作日-中间负荷期3
2025-05-01,120,8,"(2,4)",休息日-中间负荷期3
2025-05-02,121,8,"(2,4)",休息日-中间负荷期3
2025-05-03,122,8,"(2,4)",休息日-中间负荷期3
2025-05-04,123,8,"(2,4)",休息日-中间负荷期3
2025-05-05,124,8,"(2,4)",休息日-中间负荷期3
2025-05-06,125,3,"(1,4)",工作日-中间负荷期3
2025-05-07,126,3,"(1,4)",工作日-中间负荷期3
2025-05-08,127,3,"(1,4)",工作日-中间负荷期3
2025-05-09,128,3,"(1,4)",工作日-中间负荷期3
2025-05-10,129,8,"(2,4)",休息日-中间负荷期3
2025-05-11,130,8,"(2,4)",休息日-中间负荷期3
2025-05-12,131,3,"(1,4)",工作日-中间负荷期3
2025-05-13,132,3,"(1,4)",工作日-中间负荷期3
2025-05-14,133,3,"(1,4)",工作日-中间负荷期3
2025-05-15,134,3,"(1,4)",工作日-中间负荷期3
2025-05-16,135,3,"(1,4)",工作日-中间负荷期3
2025-05-17,136,8,"(2,4)",休息日-中间负荷期3
2025-05-18,137,8,"(2,4)",休息日-中间负荷期3
2025-05-19,138,2,"(1,3)",工作日-中间负荷期2
2025-05-20,139,2,"(1,3)",工作日-中间负荷期2
2025-05-21,140,2,"(1,3)",工作日-中间负荷期2
2025-05-22,141,2,"(1,3)",工作日-中间负荷期2
2025-05-23,142,2,"(1,3)",工作日-中间负荷期2
2025-05-24,143,7,"(2,3)",休息日-中间负荷期2
2025-05-25,144,7,"(2,3)",休息日-中间负荷期2
2025-05-26,145,3,"(1,4)",工作日-中间负荷期3
2025-05-27,146,3,"(1,4)",工作日-中间负荷期3
2025-05-28,147,3,"(1,4)",工作日-中间负荷期3
2025-05-29,148,3,"(1,4)",工作日-中间负荷期3
2025-05-30,149,3,"(1,4)",工作日-中间负荷期3
2025-05-31,150,8,"(2,4)",休息日-中间负荷期3
2025-06-01,151,8,"(2,4)",休息日-中间负荷期3
2025-06-02,152,13,"(3,4)",同类日-中间负荷期3
2025-06-03,153,13,"(3,4)",同类日-中间负荷期3
2025-06-04,154,13,"(3,4)",同类日-中间负荷期3
2025-06-05,155,13,"(3,4)",同类日-中间负荷期3
2025-06-06,156,13,"(3,4)",同类日-中间负荷期3
2025-06-07,157,13,"(3,4)",同类日-中间负荷期3
2025-06-08,158,13,"(3,4)",同类日-中间负荷期3
2025-06-09,159,3,"(1,4)",工作日-中间负荷期3
2025-06-10,160,3,"(1,4)",工作日-中间负荷期3
2025-06-11,161,3,"(1,4)",工作日-中间负荷期3
2025-06-12,162,3,"(1,4)",工作日-中间负荷期3
2025-06-13,163,3,"(1,4)",工作日-中间负荷期3
2025-06-14,164,8,"(2,4)",休息日-中间负荷期3
2025-06-15,165,8,"(2,4)",休息日-中间负荷期3
