date,day_index,internal_model_id,external_model_id,model_name
2025-01-01,0,2,"(3,1)",同类日-高负荷期
2025-01-02,1,2,"(3,1)",同类日-高负荷期
2025-01-03,2,2,"(3,1)",同类日-高负荷期
2025-01-04,3,2,"(3,1)",同类日-高负荷期
2025-01-05,4,2,"(3,1)",同类日-高负荷期
2025-01-06,5,2,"(3,1)",同类日-高负荷期
2025-01-07,6,2,"(3,1)",同类日-高负荷期
2025-01-08,7,2,"(3,1)",同类日-高负荷期
2025-01-09,8,2,"(3,1)",同类日-高负荷期
2025-01-10,9,2,"(3,1)",同类日-高负荷期
2025-01-11,10,2,"(3,1)",同类日-高负荷期
2025-01-12,11,2,"(3,1)",同类日-高负荷期
2025-01-13,12,2,"(3,1)",同类日-高负荷期
2025-01-14,13,2,"(3,1)",同类日-高负荷期
2025-01-15,14,2,"(3,1)",同类日-高负荷期
2025-01-16,15,2,"(3,1)",同类日-高负荷期
2025-01-17,16,2,"(3,1)",同类日-高负荷期
2025-01-18,17,2,"(3,1)",同类日-高负荷期
2025-01-19,18,2,"(3,1)",同类日-高负荷期
2025-01-20,19,0,"(1,1)",工作日-高负荷期
2025-01-21,20,1,"(2,1)",休息日-高负荷期
2025-01-22,21,0,"(1,1)",工作日-高负荷期
2025-01-23,22,0,"(1,1)",工作日-高负荷期
2025-01-24,23,0,"(1,1)",工作日-高负荷期
2025-01-25,24,0,"(1,1)",工作日-高负荷期
2025-01-26,25,1,"(2,1)",休息日-高负荷期
2025-01-27,26,3,"(3,2)",同类日-低负荷期
2025-01-28,27,3,"(3,2)",同类日-低负荷期
2025-01-29,28,3,"(3,2)",同类日-低负荷期
2025-01-30,29,3,"(3,2)",同类日-低负荷期
2025-01-31,30,3,"(3,2)",同类日-低负荷期
2025-02-01,31,3,"(3,2)",同类日-低负荷期
2025-02-02,32,3,"(3,2)",同类日-低负荷期
2025-02-03,33,0,"(1,1)",工作日-高负荷期
2025-02-04,34,0,"(1,1)",工作日-高负荷期
2025-02-05,35,0,"(1,1)",工作日-高负荷期
2025-02-06,36,1,"(2,1)",休息日-高负荷期
2025-02-07,37,1,"(2,1)",休息日-高负荷期
2025-02-08,38,1,"(2,1)",休息日-高负荷期
2025-02-09,39,1,"(2,1)",休息日-高负荷期
2025-02-10,40,2,"(3,1)",同类日-高负荷期
2025-02-11,41,2,"(3,1)",同类日-高负荷期
2025-02-12,42,2,"(3,1)",同类日-高负荷期
2025-02-13,43,2,"(3,1)",同类日-高负荷期
2025-02-14,44,2,"(3,1)",同类日-高负荷期
2025-02-15,45,2,"(3,1)",同类日-高负荷期
2025-02-16,46,2,"(3,1)",同类日-高负荷期
2025-02-17,47,2,"(3,1)",同类日-高负荷期
2025-02-18,48,2,"(3,1)",同类日-高负荷期
2025-02-19,49,2,"(3,1)",同类日-高负荷期
2025-02-20,50,2,"(3,1)",同类日-高负荷期
2025-02-21,51,2,"(3,1)",同类日-高负荷期
2025-02-22,52,2,"(3,1)",同类日-高负荷期
2025-02-23,53,2,"(3,1)",同类日-高负荷期
2025-02-24,54,2,"(3,1)",同类日-高负荷期
2025-02-25,55,2,"(3,1)",同类日-高负荷期
2025-02-26,56,2,"(3,1)",同类日-高负荷期
2025-02-27,57,2,"(3,1)",同类日-高负荷期
2025-02-28,58,2,"(3,1)",同类日-高负荷期
2025-03-01,59,2,"(3,1)",同类日-高负荷期
2025-03-02,60,2,"(3,1)",同类日-高负荷期
2025-03-03,61,2,"(3,1)",同类日-高负荷期
2025-03-04,62,2,"(3,1)",同类日-高负荷期
2025-03-05,63,2,"(3,1)",同类日-高负荷期
2025-03-06,64,2,"(3,1)",同类日-高负荷期
2025-03-07,65,2,"(3,1)",同类日-高负荷期
2025-03-08,66,2,"(3,1)",同类日-高负荷期
2025-03-09,67,2,"(3,1)",同类日-高负荷期
2025-03-10,68,2,"(3,1)",同类日-高负荷期
2025-03-11,69,2,"(3,1)",同类日-高负荷期
2025-03-12,70,2,"(3,1)",同类日-高负荷期
2025-03-13,71,2,"(3,1)",同类日-高负荷期
2025-03-14,72,2,"(3,1)",同类日-高负荷期
2025-03-15,73,2,"(3,1)",同类日-高负荷期
2025-03-16,74,2,"(3,1)",同类日-高负荷期
2025-03-17,75,2,"(3,1)",同类日-高负荷期
2025-03-18,76,2,"(3,1)",同类日-高负荷期
2025-03-19,77,2,"(3,1)",同类日-高负荷期
2025-03-20,78,2,"(3,1)",同类日-高负荷期
2025-03-21,79,2,"(3,1)",同类日-高负荷期
2025-03-22,80,2,"(3,1)",同类日-高负荷期
2025-03-23,81,2,"(3,1)",同类日-高负荷期
2025-03-24,82,2,"(3,1)",同类日-高负荷期
2025-03-25,83,2,"(3,1)",同类日-高负荷期
2025-03-26,84,2,"(3,1)",同类日-高负荷期
2025-03-27,85,2,"(3,1)",同类日-高负荷期
2025-03-28,86,2,"(3,1)",同类日-高负荷期
2025-03-29,87,2,"(3,1)",同类日-高负荷期
2025-03-30,88,2,"(3,1)",同类日-高负荷期
2025-03-31,89,2,"(3,1)",同类日-高负荷期
2025-04-01,90,2,"(3,1)",同类日-高负荷期
2025-04-02,91,2,"(3,1)",同类日-高负荷期
2025-04-03,92,2,"(3,1)",同类日-高负荷期
2025-04-04,93,2,"(3,1)",同类日-高负荷期
2025-04-05,94,2,"(3,1)",同类日-高负荷期
2025-04-06,95,2,"(3,1)",同类日-高负荷期
2025-04-07,96,2,"(3,1)",同类日-高负荷期
2025-04-08,97,2,"(3,1)",同类日-高负荷期
2025-04-09,98,2,"(3,1)",同类日-高负荷期
2025-04-10,99,2,"(3,1)",同类日-高负荷期
2025-04-11,100,2,"(3,1)",同类日-高负荷期
2025-04-12,101,2,"(3,1)",同类日-高负荷期
2025-04-13,102,2,"(3,1)",同类日-高负荷期
2025-04-14,103,0,"(1,1)",工作日-高负荷期
2025-04-15,104,0,"(1,1)",工作日-高负荷期
2025-04-16,105,1,"(2,1)",休息日-高负荷期
2025-04-17,106,1,"(2,1)",休息日-高负荷期
2025-04-18,107,1,"(2,1)",休息日-高负荷期
2025-04-19,108,1,"(2,1)",休息日-高负荷期
2025-04-20,109,1,"(2,1)",休息日-高负荷期
2025-04-21,110,2,"(3,1)",同类日-高负荷期
2025-04-22,111,2,"(3,1)",同类日-高负荷期
2025-04-23,112,2,"(3,1)",同类日-高负荷期
2025-04-24,113,2,"(3,1)",同类日-高负荷期
2025-04-25,114,2,"(3,1)",同类日-高负荷期
2025-04-26,115,2,"(3,1)",同类日-高负荷期
2025-04-27,116,2,"(3,1)",同类日-高负荷期
2025-04-28,117,0,"(1,1)",工作日-高负荷期
2025-04-29,118,0,"(1,1)",工作日-高负荷期
2025-04-30,119,0,"(1,1)",工作日-高负荷期
2025-05-01,120,0,"(1,1)",工作日-高负荷期
2025-05-02,121,1,"(2,1)",休息日-高负荷期
2025-05-03,122,1,"(2,1)",休息日-高负荷期
2025-05-04,123,1,"(2,1)",休息日-高负荷期
2025-05-05,124,2,"(3,1)",同类日-高负荷期
2025-05-06,125,2,"(3,1)",同类日-高负荷期
2025-05-07,126,2,"(3,1)",同类日-高负荷期
2025-05-08,127,2,"(3,1)",同类日-高负荷期
2025-05-09,128,2,"(3,1)",同类日-高负荷期
2025-05-10,129,2,"(3,1)",同类日-高负荷期
2025-05-11,130,2,"(3,1)",同类日-高负荷期
2025-05-12,131,2,"(3,1)",同类日-高负荷期
2025-05-13,132,2,"(3,1)",同类日-高负荷期
2025-05-14,133,2,"(3,1)",同类日-高负荷期
2025-05-15,134,2,"(3,1)",同类日-高负荷期
2025-05-16,135,2,"(3,1)",同类日-高负荷期
2025-05-17,136,2,"(3,1)",同类日-高负荷期
2025-05-18,137,2,"(3,1)",同类日-高负荷期
2025-05-19,138,2,"(3,1)",同类日-高负荷期
2025-05-20,139,2,"(3,1)",同类日-高负荷期
2025-05-21,140,2,"(3,1)",同类日-高负荷期
2025-05-22,141,2,"(3,1)",同类日-高负荷期
2025-05-23,142,2,"(3,1)",同类日-高负荷期
2025-05-24,143,2,"(3,1)",同类日-高负荷期
2025-05-25,144,2,"(3,1)",同类日-高负荷期
2025-05-26,145,0,"(1,1)",工作日-高负荷期
2025-05-27,146,0,"(1,1)",工作日-高负荷期
2025-05-28,147,0,"(1,1)",工作日-高负荷期
2025-05-29,148,1,"(2,1)",休息日-高负荷期
2025-05-30,149,0,"(1,1)",工作日-高负荷期
2025-05-31,150,0,"(1,1)",工作日-高负荷期
2025-06-01,151,1,"(2,1)",休息日-高负荷期
2025-06-02,152,2,"(3,1)",同类日-高负荷期
2025-06-03,153,2,"(3,1)",同类日-高负荷期
2025-06-04,154,2,"(3,1)",同类日-高负荷期
2025-06-05,155,2,"(3,1)",同类日-高负荷期
2025-06-06,156,2,"(3,1)",同类日-高负荷期
2025-06-07,157,2,"(3,1)",同类日-高负荷期
2025-06-08,158,2,"(3,1)",同类日-高负荷期
2025-06-09,159,2,"(3,1)",同类日-高负荷期
2025-06-10,160,2,"(3,1)",同类日-高负荷期
2025-06-11,161,2,"(3,1)",同类日-高负荷期
2025-06-12,162,2,"(3,1)",同类日-高负荷期
2025-06-13,163,2,"(3,1)",同类日-高负荷期
2025-06-14,164,2,"(3,1)",同类日-高负荷期
2025-06-15,165,2,"(3,1)",同类日-高负荷期
2025-06-16,166,2,"(3,1)",同类日-高负荷期
2025-06-17,167,2,"(3,1)",同类日-高负荷期
2025-06-18,168,2,"(3,1)",同类日-高负荷期
2025-06-19,169,2,"(3,1)",同类日-高负荷期
2025-06-20,170,2,"(3,1)",同类日-高负荷期
2025-06-21,171,2,"(3,1)",同类日-高负荷期
2025-06-22,172,2,"(3,1)",同类日-高负荷期
2025-06-23,173,2,"(3,1)",同类日-高负荷期
